상품명,가격,판매여부,날짜,시간,24시간이내,프로상점,광고,케어,무료배송,지역,URL,상품ID,세부카테고리ID,대분류,중분류,소분류
쓰리타임즈 미피 니트 가디건 아이보리 m + 실버 목걸이 증정,90000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/257577142,257577142,310260800,여성의류,상의,니트_스웨터
세실 맥비 소프트 그레이 스웨터- 모리걸 일본 빈티지,30000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/337660879,337660879,310260800,여성의류,상의,니트_스웨터
브랜디멜빌 성조기니트,50000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/326251527,326251527,310260800,여성의류,상의,니트_스웨터
"단가라니트, 줄무늬니트, 여성니트, 박시니트, 오버핏니트",40000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/319955828,319955828,310260800,여성의류,상의,니트_스웨터
에고이스트 변형 스퀘어 넥 반팔 니트,30000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/329881387,329881387,310260800,여성의류,상의,니트_스웨터
비즈장식 반팔니트 새상품,89000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/325539495,325539495,310260800,여성의류,상의,니트_스웨터
니트 3피스 (니트반팔 가디건 니트스커트),119000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/303506309,303506309,310260800,여성의류,상의,니트_스웨터
카라 진주니트 새상품,65000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/253842795,253842795,310260800,여성의류,상의,니트_스웨터
니트 나시,3000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/295170744,295170744,310260800,여성의류,상의,니트_스웨터
디어셀린 이브랩니트 아이보리 1회 착용,20000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/338895908,338895908,310260800,여성의류,상의,니트_스웨터
